trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",25,1,-49.45457242395946,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 1}",1
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",25,0,-88.34000685974581,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",20,16,5.120523375245715,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",20,0,-67.02369625430902,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",35,10,-44.63783585234867,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",1
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",30,0,-127.84028462811128,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,6,-63.40654187542208,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",25,0,-124.28860207038633,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 3}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",25,2,-52.03938642528282,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 0}",1
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",25,0,-80.34296465900614,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,0,-72.3777614186346,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",30,0,-114.09340487940345,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",20,0,-59.1873585545004,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",25,13,-3.968080216643685,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",30,7,-54.516975477704186,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",25,16,3.4655264377671076,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",20,1,22.71196827808146,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",20,5,22.92496366528901,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",20,0,30.360017526091003,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",25,3,30.643856659252993,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0.0, 'a': 0.0}",25,17,12.234275330363694,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0.0, 'a': 0.0}",20,0,18.446743558852873,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'e': 0.0, 'a': 0.0}",25,11,22.83702648395952,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0.0, 'a': 0.0}",35,27,10.275103979681289,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0.0, 'a': 0.0}",20,0,29.240495072846276,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'e': 0.0, 'a': 0.0}",20,3,6.9767603320872835,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'e': 0.0, 'a': 0.0}",25,3,37.9014219143087,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0.0, 'a': 0.0}",35,10,39.70834514543931,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0.0, 'a': 0.0}",20,0,27.145410857941346,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'e': 0.0, 'a': 0.0}",25,10,-59.619297805560905,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
