trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.8}",20,0,-182.80838725328044,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
2,False,"{'e': 0.9998995016917583, 'a': 0.8}",20,0,-108.66482418940161,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
3,False,"{'e': 0.9996985353739898, 'a': 0.8}",20,0,-91.43298960293387,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
4,False,"{'e': 0.9993971616289005, 'a': 0.8}",20,0,-164.20211669844767,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
5,False,"{'e': 0.99899547129175, 'a': 0.8}",25,0,-94.07751128916314,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
6,False,"{'e': 0.9984935854052241, 'a': 0.8}",30,0,-150.85455929591063,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
7,False,"{'e': 0.9978916551586451, 'a': 0.8}",25,0,-132.29499300674476,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
8,False,"{'e': 0.9971898618120675, 'a': 0.8}",25,0,-126.93802466166804,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
9,False,"{'e': 0.996388416605309, 'a': 0.8}",25,0,-170.23093413539647,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
10,False,"{'e': 0.9954875606519824, 'a': 0.8}",20,0,-30.886146242622868,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
11,False,"{'e': 0.9944875648186018, 'a': 0.8}",20,0,-38.706512823204626,"{0: 11, 1: 7, 2: 2, 3: 0, 4: 0}",0
12,False,"{'e': 0.9933887295888487, 'a': 0.8}",25,3,-227.57802314199313,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 5}",1
13,False,"{'e': 0.9921913849130934, 'a': 0.8}",25,0,-102.1355767890825,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
14,False,"{'e': 0.990895890043276, 'a': 0.8}",30,0,-142.11618598871382,"{0: 15, 1: 4, 2: 10, 3: 0, 4: 1}",0
15,False,"{'e': 0.989502633353264, 'a': 0.8}",20,0,-129.82545458212954,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
16,False,"{'e': 0.9880120321448115, 'a': 0.8}",20,5,-40.88986354810213,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 0}",1
17,False,"{'e': 0.9864245324392558, 'a': 0.8}",25,15,14.80949019077794,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'e': 0.9847406087550976, 'a': 0.8}",25,0,-104.31046954145111,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
19,False,"{'e': 0.9829607638716192, 'a': 0.8}",25,0,-86.12642588778617,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
20,False,"{'e': 0.9810855285787057, 'a': 0.8}",20,0,-57.701006652882626,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
21,False,"{'e': 0.9791154614130441, 'a': 0.8}",20,0,-90.65589053943945,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
22,False,"{'e': 0.9770511483808829, 'a': 0.8}",25,0,-120.27450830616586,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
23,False,"{'e': 0.9748932026675465, 'a': 0.8}",35,23,-33.49851409446168,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
24,False,"{'e': 0.9726422643339032, 'a': 0.8}",35,1,-157.6602319442892,"{0: 21, 1: 4, 2: 6, 3: 1, 4: 2}",1
25,False,"{'e': 0.9702989999999998, 'a': 0.8}",25,0,-76.82452488098677,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
26,False,"{'e': 0.9678641025160807, 'a': 0.8}",30,0,-118.7183547913179,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
27,False,"{'e': 0.965338290621218, 'a': 0.8}",25,0,-181.16362014731982,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
28,False,"{'e': 0.9627223085897895, 'a': 0.8}",25,0,-100.25218239093803,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
29,False,"{'e': 0.9600169258660466, 'a': 0.8}",20,1,-4.448613263657766,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 0}",1
30,False,"{'e': 0.9572229366870244, 'a': 0.8}",20,0,-204.38397752894724,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 5}",0
31,False,"{'e': 0.9543411596940513, 'a': 0.8}",20,0,-70.66218717555171,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
32,False,"{'e': 0.9513724375331257, 'a': 0.8}",25,0,-30.84586633474577,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
33,False,"{'e': 0.9483176364444317, 'a': 0.8}",25,0,-33.77805956689885,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
34,False,"{'e': 0.9451776458412731, 'a': 0.8}",25,0,-127.25164010371346,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
35,False,"{'e': 0.9419533778787139, 'a': 0.8}",25,0,-52.80266777850254,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
36,False,"{'e': 0.9386457670122169, 'a': 0.8}",20,0,-126.14597011728924,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
37,False,"{'e': 0.9352557695465785, 'a': 0.8}",25,0,-101.45840498509827,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
38,False,"{'e': 0.9317843631754659, 'a': 0.8}",20,0,-83.62004281433725,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
39,False,"{'e': 0.9282325465118654, 'a': 0.8}",25,0,-62.723292630384606,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
40,False,"{'e': 0.9246013386097586, 'a': 0.8}",20,0,-158.37185836115017,"{0: 6, 1: 4, 2: 8, 3: 1, 4: 1}",0
41,False,"{'e': 0.9208917784773456, 'a': 0.8}",25,0,-109.0286542895156,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
42,False,"{'e': 0.9171049245821413, 'a': 0.8}",30,0,-160.99817239057424,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
43,False,"{'e': 0.913241854348274, 'a': 0.8}",25,0,-237.4414065011749,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
