trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",20,0,-78.59765001585578,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
2,False,"{'e': 1.0, 'a': 0.5}",20,12,-33.01633309518934,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 0}",1
3,False,"{'e': 1.0, 'a': 0.5}",25,0,-53.31707189885262,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
4,False,"{'e': 1.0, 'a': 0.5}",20,0,-70.9138672415791,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,False,"{'e': 1.0, 'a': 0.5}",25,0,-72.83046416802503,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,False,"{'e': 1.0, 'a': 0.5}",25,0,-257.05683139001604,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 6}",0
7,False,"{'e': 1.0, 'a': 0.5}",25,0,-107.98961088501444,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
8,False,"{'e': 1.0, 'a': 0.5}",25,0,-132.44011658299738,"{0: 11, 1: 7, 2: 5, 3: 1, 4: 1}",0
9,False,"{'e': 1.0, 'a': 0.5}",20,0,-52.36566638649281,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
10,False,"{'e': 1.0, 'a': 0.5}",20,14,-25.429370308682042,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
11,False,"{'e': 1.0, 'a': 0.5}",25,0,-202.5252302111043,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
12,False,"{'e': 1.0, 'a': 0.5}",20,0,-38.46308526352112,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
13,False,"{'e': 1.0, 'a': 0.5}",20,5,-24.635604286841883,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
14,False,"{'e': 1.0, 'a': 0.5}",25,1,-107.98047303980431,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 1}",1
15,False,"{'e': 1.0, 'a': 0.5}",20,0,-49.53453528455003,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
16,False,"{'e': 1.0, 'a': 0.5}",25,0,-90.73435357612819,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
17,False,"{'e': 1.0, 'a': 0.5}",20,0,-115.39797146279898,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
18,False,"{'e': 1.0, 'a': 0.5}",20,0,-39.9411233847248,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
19,False,"{'e': 1.0, 'a': 0.5}",25,0,-254.91199817739025,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 6}",0
20,False,"{'e': 1.0, 'a': 0.5}",20,0,-136.3331139808962,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
1,True,"{'e': 1.0, 'a': 0.5}",25,0,-205.8312135746719,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
2,True,"{'e': 1.0, 'a': 0.5}",25,0,-161.9053200301842,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
3,True,"{'e': 1.0, 'a': 0.5}",35,0,-140.90673153776382,"{0: 21, 1: 3, 2: 9, 3: 1, 4: 1}",0
4,True,"{'e': 1.0, 'a': 0.5}",35,0,-39.054101117694856,"{0: 26, 1: 5, 2: 4, 3: 0, 4: 0}",0
5,True,"{'e': 1.0, 'a': 0.5}",20,0,-152.6935334400181,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 4}",0
6,True,"{'e': 1.0, 'a': 0.5}",30,0,-102.76950010692353,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
7,True,"{'e': 1.0, 'a': 0.5}",25,10,11.921194757872037,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 1.0, 'a': 0.5}",20,0,-140.6586516912622,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
9,True,"{'e': 1.0, 'a': 0.5}",20,0,-118.28253901434333,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
10,True,"{'e': 1.0, 'a': 0.5}",35,0,-89.78135140166039,"{0: 25, 1: 5, 2: 3, 3: 1, 4: 1}",0
